name,text,manaCost,type,rarity,games_in_hand,win_rate,set_code
"Haliya, Ascendant Cadet","Whenever Haliya enters or attacks, put a +1/+1 counter on target creature you control.
Whenever one or more creatures you control with +1/+1 counters on them deal combat damage to a player, draw a card.",{2}{G}{W}{W},Legendary Creature — Human Soldier,uncommon,32507,0.552,EOE
Infinite Guideline Station,"When Infinite Guideline Station enters, create a tapped 2/2 colorless Robot artifact creature token for each multicolored permanent you control.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 12+.)
12+ | Flying
Whenever Infinite Guideline Station attacks, draw a card for each multicolored permanent you control.",{W}{U}{B}{R}{G},Legendary Artifact — Spacecraft,rare,762,0.483,EOE
Interceptor Mechan,"Flying
When this creature enters, return target artifact or creature card from your graveyard to your hand.
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, put a +1/+1 counter on this creature.",{2}{B}{R},Artifact Creature — Robot,uncommon,48606,0.578,EOE
"Mm'menon, Uthros Exile","Flying
Whenever an artifact you control enters, put a +1/+1 counter on target creature.",{1}{U}{R},Legendary Creature — Jellyfish Advisor,uncommon,32683,0.533,EOE
Mutinous Massacre,Choose odd or even. Destroy each creature with mana value of the chosen quality. Then gain control of all creatures until end of turn. Untap them. They gain haste until end of turn. (Zero is even.),{3}{B}{B}{R}{R},Sorcery,rare,20031,0.596,EOE
Pinnacle Emissary,"Whenever you cast an artifact spell, create a 1/1 colorless Drone artifact creature token with flying and ""This token can block only creatures with flying.""
Warp {U/R} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{1}{U}{R},Artifact Creature — Robot,rare,18650,0.584,EOE
"Ragost, Deft Gastronaut","Artifacts you control are Foods in addition to their other types and have ""{2}, {T}, Sacrifice this artifact: You gain 3 life.""
{1}, {T}, Sacrifice a Food: Ragost deals 3 damage to each opponent.
At the beginning of each end step, if you gained life this turn, untap Ragost.",{R}{W},Legendary Creature — Lobster Citizen,rare,5310,0.51,EOE
"Sami, Ship's Engineer","At the beginning of your end step, if you control two or more tapped creatures, create a tapped 2/2 colorless Robot artifact creature token.",{2}{R}{W},Legendary Creature — Human Artificer,uncommon,17749,0.513,EOE
"Sami, Wildcat Captain","Double strike, vigilance
Spells you cast have affinity for artifacts. (They cost {1} less to cast for each artifact you control.)",{4}{R}{W},Legendary Creature — Human Artificer Rogue,mythic,2905,0.509,EOE
Seedship Broodtender,"When this creature enters, mill three cards. (Put the top three cards of your library into your graveyard.)
{3}{B}{G}, Sacrifice this creature: Return target creature or Spacecraft card from your graveyard to the battlefield. Activate only as a sorcery.",{B}{G},Creature — Insect Citizen,uncommon,30261,0.552,EOE
Singularity Rupture,"Destroy all creatures, then any number of target players each mill half their library, rounded down.",{3}{U}{B}{B},Sorcery,rare,23655,0.591,EOE
Space-Time Anomaly,Target player mills cards equal to your life total.,{2}{W}{U},Sorcery,rare,7569,0.556,EOE
Station Monitor,"Whenever you cast your second spell each turn, create a 1/1 colorless Drone artifact creature token with flying and ""This token can block only creatures with flying.""",{W}{U},Creature — Lizard Artificer,uncommon,54339,0.59,EOE
"Syr Vondam, Sunstar Exemplar","Vigilance, menace
Whenever another creature you control dies or is put into exile, put a +1/+1 counter on Syr Vondam and you gain 1 life.
When Syr Vondam dies or is put into exile while its power is 4 or greater, destroy up to one target nonland permanent.",{W}{B},Legendary Creature — Human Knight,rare,17977,0.594,EOE
"Syr Vondam, the Lucent","Deathtouch, lifelink
Whenever Syr Vondam enters or attacks, other creatures you control get +1/+0 and gain deathtouch until end of turn.",{2}{W}{B}{B},Legendary Creature — Human Knight,uncommon,38051,0.569,EOE
"Tannuk, Memorial Ensign","Landfall — Whenever a land you control enters, Tannuk deals 1 damage to each opponent. If this is the second time this ability has resolved this turn, draw a card.",{1}{R}{G},Legendary Creature — Kavu Pilot,uncommon,41948,0.56,EOE
All-Fates Scroll,"{T}: Add one mana of any color.
{7}, {T}, Sacrifice this artifact: Draw X cards, where X is the number of differently named lands you control.",{3},Artifact,uncommon,39844,0.55,EOE
Bygone Colossus,"Warp {3} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{9},Artifact Creature — Robot Giant,uncommon,3935,0.447,EOE
Chrome Companion,"Whenever this creature becomes tapped, you gain 1 life.
{2}, {T}: Put target card from a graveyard on the bottom of its owner's library.",{2},Artifact Creature — Dog,common,47535,0.532,EOE
Dauntless Scrapbot,"When this creature enters, exile each opponent's graveyard. Create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",{3},Artifact Creature — Robot,uncommon,79300,0.569,EOE
"Dawnsire, Sunstar Dreadnought","Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 20+.)
10+ | Whenever you attack, Dawnsire deals 100 damage to up to one target creature or planeswalker.
20+ | Flying",{5},Legendary Artifact — Spacecraft,mythic,6314,0.484,EOE
The Dominion Bracelet,"Equipped creature gets +1/+1 and has ""{15}, Exile The Dominion Bracelet: You control target opponent during their next turn. This ability costs {X} less to activate, where X is this creature's power. Activate only as a sorcery."" (You see all cards that player could see and make all decisions for them.)
Equip {1}",{2},Legendary Artifact — Equipment,mythic,2891,0.494,EOE
The Endstone,"Whenever you play a land or cast a spell, draw a card.
At the beginning of your end step, your life total becomes half your starting life total, rounded up.",{7},Legendary Artifact,mythic,13216,0.561,EOE
The Eternity Elevator,"{T}: Add {C}{C}{C}.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery.)
20+ | {T}: Add X mana of any one color, where X is the number of charge counters on The Eternity Elevator.",{5},Legendary Artifact — Spacecraft,rare,568,0.419,EOE
Extinguisher Battleship,"When this Spacecraft enters, destroy target noncreature permanent. Then this Spacecraft deals 4 damage to each creature.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 5+.)
5+ | Flying, trample",{8},Artifact — Spacecraft,rare,25086,0.575,EOE
Nutrient Block,"Indestructible (Effects that say ""destroy"" don't destroy this artifact.)
{2}, {T}, Sacrifice this artifact: You gain 3 life.
When this artifact is put into a graveyard from the battlefield, draw a card.",{1},Artifact — Food,common,100044,0.55,EOE
Pinnacle Kill-Ship,"When this Spacecraft enters, it deals 10 damage to up to one target creature.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying",{7},Artifact — Spacecraft,common,127353,0.566,EOE
Survey Mechan,"Flying
Hexproof (This creature can't be the target of spells or abilities your opponents control.)
{10}, Sacrifice this creature: It deals 3 damage to any target. Target player draws three cards and gains 3 life. This ability costs {X} less to activate, where X is the number of differently named lands you control.",{4},Artifact Creature — Robot,uncommon,48927,0.564,EOE
Thaumaton Torpedo,"{6}, {T}, Sacrifice this artifact: Destroy target nonland permanent. This ability costs {3} less to activate if you attacked with a Spacecraft this turn.",{1},Artifact,common,12130,0.497,EOE
Thrumming Hivepool,"Affinity for Slivers (This spell costs {1} less to cast for each Sliver you control.)
Slivers you control have double strike and haste.
At the beginning of your upkeep, create two 1/1 colorless Sliver creature tokens.",{6},Artifact,rare,29281,0.577,EOE
Virulent Silencer,"Whenever a nontoken artifact creature you control deals combat damage to a player, that player gets two poison counters. (A player with ten or more poison counters loses the game.)",{3},Artifact Creature — Robot Assassin,uncommon,8906,0.497,EOE
Wurmwall Sweeper,"When this Spacecraft enters, surveil 2.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 4+.)
4+ | Flying",{2},Artifact — Spacecraft,common,75440,0.541,EOE
"Adagia, Windswept Bastion","This land enters tapped.
{T}: Add {W}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {3}{W}, {T}: Create a token that's a copy of target artifact or enchantment you control, except it's legendary. Activate only as a sorcery.",,Land — Planet,mythic,8883,0.555,EOE
Breeding Pool,"({T}: Add {G} or {U}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,Land — Forest Island,rare,19388,0.566,EOE
Command Bridge,"This land enters tapped.
When this land enters, sacrifice it unless you tap an untapped permanent you control.
{T}: Add one mana of any color.",,Land,common,111837,0.529,EOE
"Evendo, Waking Haven","This land enters tapped.
{T}: Add {G}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {G}, {T}: Add {G} for each creature you control.",,Land — Planet,mythic,2949,0.517,EOE
Godless Shrine,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,Land — Plains Swamp,rare,12595,0.542,EOE
"Kavaron, Memorial World","This land enters tapped.
{T}: Add {R}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {1}{R}, {T}, Sacrifice a land: Create a 2/2 colorless Robot artifact creature token, then creatures you control get +1/+0 and gain haste until end of turn.",,Land — Planet,mythic,10636,0.576,EOE
Sacred Foundry,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,Land — Mountain Plains,rare,9274,0.53,EOE
Secluded Starforge,"{T}: Add {C}.
{2}, {T}, Tap X untapped artifacts you control: Target creature gets +X/+0 until end of turn. Activate only as a sorcery.
{5}, {T}: Create a 2/2 colorless Robot artifact creature token.",,Land,rare,31366,0.586,EOE
Stomping Ground,"({T}: Add {R} or {G}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,Land — Mountain Forest,rare,15495,0.556,EOE
"Susur Secundi, Void Altar","This land enters tapped.
{T}: Add {B}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {1}{B}, {T}, Pay 2 life, Sacrifice a creature: Draw cards equal to the sacrificed creature's power. Activate only as a sorcery.",,Land — Planet,mythic,7145,0.528,EOE
"Uthros, Titanic Godcore","This land enters tapped.
{T}: Add {U}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {U}, {T}: Add {U} for each artifact you control.",,Land — Planet,mythic,2548,0.513,EOE
Watery Grave,"({T}: Add {U} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,Land — Island Swamp,rare,18023,0.549,EOE
Changeling Wayfinder,"Changeling (This card is every creature type.)
When this creature enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.",{3},Creature — Shapeshifter,common,92776,0.536,ECL
Rooftop Percher,"Changeling (This card is every creature type.)
Flying
When this creature enters, exile up to two target cards from graveyards. You gain 3 life.",{5},Creature — Shapeshifter,common,68138,0.55,ECL
Adept Watershaper,Other tapped creatures you control have indestructible.,{2}{W},Creature — Merfolk Cleric,rare,17414,0.579,ECL
"Ajani, Outland Chaperone","[+1]: Create a 1/1 green and white Kithkin creature token.
[−2]: Ajani deals 4 damage to target tapped creature.
[−8]: Look at the top X cards of your library, where X is your life total. You may put any number of nonland permanent cards with mana value 3 or less from among them onto the battlefield. Then shuffle.",{1}{W}{W},Legendary Planeswalker — Ajani,mythic,10127,0.609,ECL
Appeal to Eirdu,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
One or two target creatures each get +2/+1 until end of turn.",{3}{W},Instant,common,9347,0.5,ECL
Bark of Doran,"Equipped creature gets +0/+1.
As long as equipped creature's toughness is greater than its power, it assigns combat damage equal to its toughness rather than its power.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",{1}{W},Artifact — Equipment,uncommon,5218,0.494,ECL
Burdened Stoneback,"This creature enters with two -1/-1 counters on it.
{1}{W}, Remove a counter from this creature: Target creature gains indestructible until end of turn. Activate only as a sorcery. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it still dies.)",{1}{W},Creature — Giant Warrior,uncommon,23821,0.53,ECL
Champion of the Clachan,"Flash
As an additional cost to cast this spell, behold a Kithkin and exile it. (Exile a Kithkin you control or a Kithkin card from your hand.)
Other Kithkin you control get +1/+1.
When this creature leaves the battlefield, return the exiled card to its owner's hand.",{3}{W},Creature — Kithkin Knight,rare,12552,0.557,ECL
Clachan Festival,"When this enchantment enters, create two 1/1 green and white Kithkin creature tokens.
{4}{W}: Create a 1/1 green and white Kithkin creature token.",{2}{W},Kindred Enchantment — Kithkin,uncommon,33710,0.565,ECL
Crib Swap,"Changeling (This card is every creature type.)
Exile target creature. Its controller creates a 1/1 colorless Shapeshifter creature token with changeling.",{2}{W},Kindred Instant — Shapeshifter,uncommon,8817,0.502,ECL
Curious Colossus,"When this creature enters, each creature target opponent controls loses all abilities, becomes a Coward in addition to its other types, and has base power and toughness 1/1.",{5}{W}{W},Creature — Giant Warrior,mythic,10714,0.629,ECL
Encumbered Reejerey,"This creature enters with three -1/-1 counters on it.
Whenever this creature becomes tapped while it has a -1/-1 counter on it, remove a -1/-1 counter from it.",{1}{W},Creature — Merfolk Soldier,uncommon,41141,0.564,ECL
Evershrike's Gift,"Enchant creature
Enchanted creature gets +1/+0 and has flying.
{1}{W}, Blight 2: Return this card from your graveyard to your hand. Activate only as a sorcery. (To blight 2, put two -1/-1 counters on a creature you control.)",{W},Enchantment — Aura,uncommon,15509,0.532,ECL
Flock Impostor,"Changeling (This card is every creature type.)
Flash
Flying
When this creature enters, return up to one other target creature you control to its owner's hand.",{2}{W},Creature — Shapeshifter,uncommon,35010,0.552,ECL
Gallant Fowlknight,"When this creature enters, creatures you control get +1/+0 until end of turn. Kithkin creatures you control also gain first strike until end of turn.",{3}{W},Creature — Kithkin Knight,common,47376,0.542,ECL
Goldmeadow Nomad,"{W}, Exile this card from your graveyard: Create a 1/1 green and white Kithkin creature token. Activate only as a sorcery.",{W},Creature — Kithkin Scout,common,36081,0.526,ECL
Keep Out,"Choose one —
• Keep Out deals 4 damage to target tapped creature.
• Destroy target enchantment.",{1}{W},Instant,common,51876,0.526,ECL
Kinbinding,"Creatures you control get +X/+X, where X is the number of creatures that entered the battlefield under your control this turn.
At the beginning of combat on your turn, create a 1/1 green and white Kithkin creature token.",{3}{W}{W},Enchantment,rare,21787,0.643,ECL
Kinsbaile Aspirant,"As an additional cost to cast this spell, behold a Kithkin or pay {2}. (To behold a Kithkin, choose a Kithkin you control or reveal a Kithkin card from your hand.)
Whenever another creature you control enters, this creature gets +1/+1 until end of turn.",{W},Creature — Kithkin Citizen,uncommon,32207,0.581,ECL
Kinscaer Sentry,"First strike, lifelink
Whenever this creature attacks, you may put a creature card with mana value X or less from your hand onto the battlefield tapped and attacking, where X is the number of attacking creatures you control.",{1}{W},Creature — Kithkin Soldier,rare,16360,0.59,ECL
Kithkeeper,"Vivid — When this creature enters, create X 1/1 green and white Kithkin creature tokens, where X is the number of colors among permanents you control.
Tap three untapped creatures you control: This creature gets +3/+0 and gains flying until end of turn.",{6}{W},Creature — Elemental,uncommon,23487,0.537,ECL
Liminal Hold,"When this enchantment enters, exile up to one target nonland permanent an opponent controls until this enchantment leaves the battlefield. You gain 2 life.",{3}{W},Enchantment,common,104832,0.558,ECL
Meanders Guide,"Whenever this creature attacks, you may tap another untapped Merfolk you control. When you do, return target creature card with mana value 3 or less from your graveyard to the battlefield.",{2}{W},Creature — Merfolk Scout,uncommon,28069,0.541,ECL
Moonlit Lamenter,"This creature enters with a -1/-1 counter on it.
{1}{W}, Remove a counter from this creature: Draw a card. Activate only as a sorcery.",{2}{W},Creature — Treefolk Cleric,uncommon,30922,0.553,ECL
Morningtide's Light,"Exile any number of target creatures. At the beginning of the next end step, return those cards to the battlefield tapped under their owners' control.
Until your next turn, prevent all damage that would be dealt to you.
Exile Morningtide's Light.",{3}{W},Sorcery,mythic,5273,0.54,ECL
Personify,"Exile target creature you control, then return that card to the battlefield under its owner's control. Create a 1/1 colorless Shapeshifter creature token with changeling. (It's every creature type.)",{1}{W},Instant,uncommon,24073,0.55,ECL
Protective Response,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target attacking or blocking creature.",{2}{W},Instant,uncommon,41633,0.572,ECL
Pyrrhic Strike,"As an additional cost to cast this spell, you may blight 2. (You may put two -1/-1 counters on a creature you control.)
Choose one. If this spell's additional cost was paid, choose both instead.
• Destroy target artifact or enchantment.
• Destroy target creature with mana value 3 or greater.",{2}{W},Instant,uncommon,46940,0.583,ECL
Reluctant Dounguard,"This creature enters with two -1/-1 counters on it.
Whenever another creature you control enters while this creature has a -1/-1 counter on it, remove a -1/-1 counter from this creature.",{2}{W},Creature — Kithkin Soldier,common,33996,0.516,ECL
"Rhys, the Evermore","Flash
When Rhys enters, another target creature you control gains persist until end of turn. (When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)
{W}, {T}: Remove any number of counters from target creature you control. Activate only as a sorcery.",{1}{W},Legendary Creature — Elf Warrior,rare,12774,0.527,ECL
Riverguard's Reflexes,Target creature gets +2/+2 and gains first strike until end of turn. Untap it.,{1}{W},Instant,common,22113,0.527,ECL
Shore Lurker,"Flying
When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",{3}{W},Creature — Merfolk Scout,common,44113,0.537,ECL
Slumbering Walker,"This creature enters with two -1/-1 counters on it.
At the beginning of your end step, you may remove a counter from this creature. When you do, return target creature card with power 2 or less from your graveyard to the battlefield.",{3}{W}{W},Creature — Giant Warrior,rare,18265,0.594,ECL
Spiral into Solitude,"Enchant creature
Enchanted creature can't attack or block.
{1}{W}, Blight 1, Sacrifice this Aura: Exile enchanted creature. (To blight 1, put a -1/-1 counter on a creature you control.)",{1}{W},Enchantment — Aura,common,94095,0.543,ECL
Sun-Dappled Celebrant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Vigilance",{4}{W}{W},Creature — Treefolk Cleric,common,46180,0.529,ECL
Thoughtweft Imbuer,"Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of Kithkin you control.",{3}{W},Creature — Kithkin Advisor,uncommon,34078,0.583,ECL
Timid Shieldbearer,{4}{W}: Creatures you control get +1/+1 until end of turn.,{1}{W},Creature — Kithkin Soldier,common,79692,0.551,ECL
Tributary Vaulter,"Flying
Whenever this creature becomes tapped, another target Merfolk you control gets +2/+0 until end of turn.",{2}{W},Creature — Merfolk Warrior,common,67094,0.554,ECL
Wanderbrine Preacher,"Whenever this creature becomes tapped, you gain 2 life.",{1}{W},Creature — Merfolk Cleric,common,87113,0.556,ECL
Wanderbrine Trapper,"{1}, {T}, Tap another untapped creature you control: Tap target creature an opponent controls.",{W},Creature — Merfolk Scout,uncommon,48122,0.595,ECL
Winnowing,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
For each player, you choose a creature that player controls. Then each player sacrifices all other creatures they control that don't share a creature type with the chosen creature they control.",{4}{W}{W},Sorcery,rare,7902,0.528,ECL
Aquitect's Defenses,"Flash
Enchant creature you control
When this Aura enters, enchanted creature gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Enchanted creature gets +1/+2.",{1}{U},Enchantment — Aura,common,22747,0.53,ECL
Blossombind,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature can't become untapped and can't have counters put on it.",{1}{U},Enchantment — Aura,common,110447,0.551,ECL
Champions of the Shoal,"As an additional cost to cast this spell, behold a Merfolk and exile it. (Exile a Merfolk you control or a Merfolk card from your hand.)
Whenever this creature enters or becomes tapped, tap up to one target creature and put a stun counter on it.
When this creature leaves the battlefield, return the exiled card to its owner's hand.",{3}{U},Creature — Merfolk Soldier,rare,19370,0.624,ECL
Disruptor of Currents,"Flash
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When this creature enters, return up to one other target nonland permanent to its owner's hand.",{3}{U}{U},Creature — Merfolk Wizard,rare,22012,0.612,ECL
Flitterwing Nuisance,"Flying
This creature enters with a -1/-1 counter on it.
{2}{U}, Remove a counter from this creature: Whenever a creature you control deals combat damage to a player or planeswalker this turn, draw a card.",{U},Creature — Faerie Rogue,rare,20365,0.6,ECL
Glamer Gifter,"Flash
Flying
When this creature enters, choose up to one other target creature. Until end of turn, that creature has base power and toughness 4/4 and gains all creature types.",{1}{U},Creature — Faerie Wizard,uncommon,46313,0.566,ECL
Glamermite,"Flash
Flying
When this creature enters, choose one —
• Tap target creature.
• Untap target creature.",{2}{U},Creature — Faerie Rogue,common,36976,0.532,ECL
Glen Elendra Guardian,"Flash
Flying
This creature enters with a -1/-1 counter on it.
{1}{U}, Remove a counter from this creature: Counter target noncreature spell. Its controller draws a card.",{2}{U},Creature — Faerie Wizard,rare,19405,0.566,ECL
Glen Elendra's Answer,"This spell can't be countered.
Counter all spells your opponents control and all abilities your opponents control. Create a 1/1 blue and black Faerie creature token with flying for each spell and ability countered this way.",{2}{U}{U},Instant,mythic,8949,0.593,ECL
Gravelgill Scoundrel,"Vigilance
Whenever this creature attacks, you may tap another untapped creature you control. If you do, this creature can't be blocked this turn.",{1}{U},Creature — Merfolk Rogue,common,80474,0.558,ECL
Harmonized Crescendo,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Draw a card for each permanent you control of that type.",{4}{U}{U},Instant,rare,10971,0.532,ECL
Illusion Spinners,"You may cast this spell as though it had flash if you control a Faerie.
Flying
This creature has hexproof as long as it's untapped. (It can't be the target of spells or abilities your opponents control.)",{4}{U},Creature — Faerie Wizard,uncommon,11395,0.512,ECL
Kulrath Mystic,"Whenever you cast a spell with mana value 4 or greater, this creature gets +2/+0 and gains vigilance until end of turn.",{2}{U},Creature — Elemental Wizard,common,42714,0.539,ECL
Loch Mare,"This creature enters with three -1/-1 counters on it.
{1}{U}, Remove a counter from this creature: Draw a card.
{2}{U}, Remove two counters from this creature: Tap target creature. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",{1}{U},Creature — Horse Serpent,mythic,12519,0.621,ECL
Lofty Dreams,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Enchant creature
When this Aura enters, draw a card.
Enchanted creature gets +2/+2 and has flying.",{3}{U}{U},Enchantment — Aura,uncommon,28927,0.553,ECL
Mirrorform,Each nonland permanent you control becomes a copy of target non-Aura permanent.,{4}{U}{U},Instant,mythic,7904,0.555,ECL
Noggle the Mind,"Flash
Enchant creature
Enchanted creature loses all abilities and is a colorless Noggle with base power and toughness 1/1. (It loses all colors and all other creature types.)",{1}{U},Enchantment — Aura,uncommon,33472,0.552,ECL
Omni-Changeling,"Changeling (This card is every creature type.)
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
You may have this creature enter as a copy of any creature on the battlefield, except it has changeling.",{3}{U}{U},Creature — Shapeshifter,uncommon,49289,0.56,ECL
Pestered Wellguard,"Whenever this creature becomes tapped, create a 1/1 blue and black Faerie creature token with flying.",{3}{U},Creature — Merfolk Soldier,uncommon,34731,0.545,ECL
Rime Chill,"Vivid — This spell costs {1} less to cast for each color among permanents you control.
Tap up to two target creatures. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Draw a card.",{6}{U},Instant,uncommon,16468,0.524,ECL
Rimefire Torque,"As this artifact enters, choose a creature type.
Whenever a permanent you control of the chosen type enters, put a charge counter on this artifact.
{T}, Remove three charge counters from this artifact: When you next cast an instant or sorcery spell this turn, copy it. You may choose new targets for the copy.",{1}{U},Artifact,rare,711,0.401,ECL
Rimekin Recluse,"When this creature enters, return up to one other target creature to its owner's hand.",{2}{U},Creature — Elemental Wizard,uncommon,61474,0.602,ECL
Run Away Together,Choose two target creatures controlled by different players. Return those creatures to their owners' hands.,{1}{U},Instant,common,24593,0.512,ECL
Shinestriker,"Flying
Vivid — When this creature enters, draw cards equal to the number of colors among permanents you control.",{4}{U}{U},Creature — Elemental,uncommon,52397,0.585,ECL
Silvergill Mentor,"As an additional cost to cast this spell, behold a Merfolk or pay {2}. (To behold a Merfolk, choose a Merfolk you control or reveal a Merfolk card from your hand.)
When this creature enters, create a 1/1 white and blue Merfolk creature token.",{1}{U},Creature — Merfolk Wizard,uncommon,44535,0.601,ECL
Silvergill Peddler,"Whenever this creature becomes tapped, draw a card, then discard a card.",{2}{U},Creature — Merfolk Citizen,common,64665,0.55,ECL
Spell Snare,Counter target spell with mana value 2.,{U},Instant,uncommon,4865,0.487,ECL
Stratosoarer,"Flying
When this creature enters, target creature gains flying until end of turn.
Basic landcycling {1}{U} ({1}{U}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",{4}{U},Creature — Elemental,common,65140,0.547,ECL
Summit Sentinel,"When this creature dies, draw a card.",{1}{U},Creature — Elemental Soldier,common,62782,0.537,ECL
Sunderflock,"This spell costs {X} less to cast, where X is the greatest mana value among Elementals you control.
Flying
When this creature enters, if you cast it, return all non-Elemental creatures to their owners' hands.",{7}{U}{U},Creature — Elemental,rare,20284,0.641,ECL
Swat Away,"This spell costs {2} less to cast if a creature is attacking you.
The owner of target spell or creature puts it on their choice of the top or bottom of their library.",{2}{U}{U},Instant,uncommon,33934,0.547,ECL
Tanufel Rimespeaker,"Whenever you cast a spell with mana value 4 or greater, draw a card.",{3}{U},Creature — Elemental Wizard,uncommon,47435,0.563,ECL
Temporal Cleansing,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
The owner of target nonland permanent puts it into their library second from the top or on the bottom.",{3}{U},Sorcery,common,94109,0.561,ECL
Thirst for Identity,Draw three cards. Then discard two cards unless you discard a creature card.,{2}{U},Instant,uncommon,18110,0.532,ECL
Unexpected Assistance,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Draw three cards, then discard a card.",{3}{U}{U},Instant,common,103799,0.558,ECL
Unwelcome Sprite,"Flying
Whenever you cast a spell during an opponent's turn, surveil 2. (Look at the top two cards of your library. You may put any number of them into your graveyard and the rest on top of your library in any order.)",{1}{U},Creature — Faerie Rogue,uncommon,42256,0.563,ECL
Wanderwine Distracter,"Whenever this creature becomes tapped, target creature an opponent controls gets -3/-0 until end of turn.",{3}{U},Creature — Merfolk Wizard,common,19978,0.509,ECL
Wanderwine Farewell,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Return one or two target nonland permanents to their owners' hands. Then if you control a Merfolk, create a 1/1 white and blue Merfolk creature token for each permanent returned to its owner's hand this way.",{5}{U}{U},Kindred Sorcery — Merfolk,uncommon,35298,0.568,ECL
Wild Unraveling,"As an additional cost to cast this spell, blight 2 or pay {1}. (To blight 2, put two -1/-1 counters on a creature you control.)
Counter target spell.",{U}{U},Instant,common,28542,0.534,ECL
Auntie's Sentence,"Choose one —
• Target opponent reveals their hand. You choose a nonland permanent card from it. That player discards that card.
• Target creature gets -2/-2 until end of turn.",{1}{B},Sorcery,common,49484,0.534,ECL
Barbed Bloodletter,"Flash
When this Equipment enters, attach it to target creature you control. That creature gains wither until end of turn. (It deals damage to creatures in the form of -1/-1 counters.)
Equipped creature gets +1/+2.
Equip {2}",{1}{B},Artifact — Equipment,common,17760,0.534,ECL
Bile-Vial Boggart,"When this creature dies, put a -1/-1 counter on up to one target creature.",{B},Creature — Goblin Assassin,common,39670,0.519,ECL
Bitterbloom Bearer,"Flash
Flying
At the beginning of your upkeep, you lose 1 life and create a 1/1 blue and black Faerie creature token with flying.",{B}{B},Creature — Faerie Rogue,mythic,8718,0.579,ECL
